                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8861,                  1.489,                 1.0526,                0.66978,                0.66532,                0.59856,                0.28492,                 1.8174,                 2.1176,                 1.0154,             0.00065116,             0.00065116,             0.00065116
                      2,                 1.8276,                0.93012,                 1.0058,                0.71379,                0.69274,                 0.7027,                0.30405,                 1.9297,                  1.526,                  1.039,              0.0012992,              0.0012992,              0.0012992
                      3,                 1.8069,                 0.9429,                 1.0108,                0.84421,                0.81736,                0.85162,                0.40426,                 1.8131,                 1.1535,                 1.0318,              0.0019284,              0.0019284,              0.0019284
                      4,                  1.774,                0.88214,                0.99667,                0.64663,                0.55188,                 0.5531,                0.20709,                 2.2285,                 2.0429,                 1.0999,              0.0019151,              0.0019151,              0.0019151
                      5,                 1.7254,                0.85042,                0.98463,                0.84486,                0.81564,                 0.8649,                0.41116,                 1.7735,                0.91499,                 1.0089,              0.0019151,              0.0019151,              0.0019151
                      6,                 1.7564,                0.86246,                0.98691,                0.09848,                 0.6664,                0.08158,                0.04073,                 1.8005,                 29.845,                 1.0075,              0.0018869,              0.0018869,              0.0018869
                      7,                  1.701,                0.80833,                0.96186,                0.87611,                0.82397,                0.88608,                0.45131,                 1.7412,                0.83326,                0.98037,              0.0018586,              0.0018586,              0.0018586
                      8,                 1.6937,                0.80095,                 0.9762,                0.82964,                 0.6668,                0.73995,                0.35305,                 1.7852,                0.99228,                 1.0229,              0.0018303,              0.0018303,              0.0018303
                      9,                 1.6672,                0.78561,                0.96872,                0.87924,                0.83759,                0.88891,                0.44534,                 1.6789,                0.84338,                0.97601,               0.001802,               0.001802,               0.001802
                     10,                 1.6489,                0.79813,                0.97353,                0.86824,                  0.832,                0.88193,                0.44881,                  1.713,                0.87833,                0.98375,              0.0017737,              0.0017737,              0.0017737
                     11,                 1.6821,                0.79338,                0.96807,                0.83081,                0.77986,                 0.8414,                0.40436,                 1.7515,                0.90942,                 0.9931,              0.0017454,              0.0017454,              0.0017454
                     12,                 1.6865,                0.80126,                0.96883,                0.88748,                0.82283,                0.88264,                 0.4528,                 1.7388,                0.85198,                 0.9915,              0.0017171,              0.0017171,              0.0017171
                     13,                  1.622,                 0.7655,                0.95519,                0.86591,                0.83491,                0.87399,                 0.4174,                 1.6959,                0.91467,                0.97556,              0.0016889,              0.0016889,              0.0016889
                     14,                 1.6452,                0.76161,                0.95802,                0.79863,                0.78093,                0.81315,                0.35162,                 1.8716,                0.87177,                 1.0249,              0.0016606,              0.0016606,              0.0016606
                     15,                 1.6712,                0.78484,                0.97409,                0.85316,                 0.8352,                0.88183,                0.44023,                  1.695,                0.79483,                0.98875,              0.0016323,              0.0016323,              0.0016323
                     16,                 1.6299,                0.75771,                0.95904,                0.89536,                0.84996,                0.89678,                 0.4709,                 1.6781,                0.86038,                0.97634,               0.001604,               0.001604,               0.001604
                     17,                 1.6066,                0.74502,                0.95853,                0.87585,                0.85299,                0.89755,                0.47494,                 1.6242,                0.80051,                0.96414,              0.0015757,              0.0015757,              0.0015757
                     18,                 1.5956,                0.75641,                0.94954,                0.88751,                0.84686,                 0.9014,                0.47243,                 1.6662,                   0.82,                0.97222,              0.0015474,              0.0015474,              0.0015474
                     19,                 1.5673,                0.73396,                0.96406,                0.88845,                0.85395,                0.90415,                0.48295,                   1.62,                0.79336,                0.96059,              0.0015191,              0.0015191,              0.0015191
                     20,                 1.5723,                 0.7313,                0.94404,                0.88334,                0.84078,                0.89376,                0.46217,                 1.6432,                 0.8371,                0.96541,              0.0014909,              0.0014909,              0.0014909
                     21,                 1.5637,                0.71989,                0.94382,                0.89006,                0.84637,                0.89659,                0.47806,                 1.6996,                 0.7887,                0.97899,              0.0014626,              0.0014626,              0.0014626
                     22,                 1.5667,                0.71272,                0.94048,                0.86596,                0.84561,                 0.8885,                0.42905,                 1.7284,                0.80614,                0.98904,              0.0014343,              0.0014343,              0.0014343
                     23,                 1.5658,                0.72379,                0.93571,                0.88331,                0.86394,                0.90942,                0.47997,                 1.6757,                0.80437,                0.97488,               0.001406,               0.001406,               0.001406
                     24,                 1.5387,                0.70292,                0.93888,                0.89234,                0.86328,                0.90871,                0.48525,                 1.6383,                0.75154,                0.96512,              0.0013777,              0.0013777,              0.0013777
                     25,                  1.572,                0.71718,                0.95579,                0.87768,                0.85994,                0.90868,                0.46903,                 1.6884,                0.78606,                0.97322,              0.0013494,              0.0013494,              0.0013494
                     26,                 1.5411,                0.70114,                0.93502,                0.88315,                0.87271,                0.91457,                0.47558,                 1.6364,                0.73622,                0.97135,              0.0013211,              0.0013211,              0.0013211
                     27,                 1.5425,                0.69214,                0.93542,                0.89588,                0.87549,                0.91702,                0.50214,                 1.6012,                0.73627,                0.96184,              0.0012929,              0.0012929,              0.0012929
                     28,                  1.513,                0.67466,                0.93671,                0.89505,                0.86951,                0.91628,                0.49707,                  1.646,                0.76018,                0.96542,              0.0012646,              0.0012646,              0.0012646
                     29,                 1.4893,                0.67086,                 0.9347,                0.89628,                 0.8743,                 0.9186,                0.49767,                 1.6281,                0.73103,                0.96365,              0.0012363,              0.0012363,              0.0012363
                     30,                 1.5044,                0.68265,                0.93518,                0.89961,                0.86273,                0.91525,                 0.4901,                 1.6971,                0.79102,                0.97643,               0.001208,               0.001208,               0.001208
